job_id	job_title_short	job_location	job_schedule_type	salary_year_avg	job_posted_date	company_name
670899	Data Analyst	Anywhere	Full-time	99746.90625	2023-10-12 04:00:55	Calbright College
1064019	Data Analyst	Anywhere	Full-time	99500	2023-07-24 17:02:21	Ogletree Deakins
1733276	Data Analyst	Anywhere	Full-time	99500	2023-07-06 09:00:14	Get It Recruit - Information Technology
867791	Data Analyst	Anywhere	Full-time	99000	2023-03-04 10:01:39	Get It Recruit - Technology
1332763	Data Analyst	Anywhere	Full-time	98800	2023-05-04 01:00:43	Ad Hoc Team
284410	Data Analyst	Anywhere	Full-time	98750	2023-09-16 09:02:30	Goldbelt, Inc.
1149238	Data Analyst	Anywhere	Full-time	98500	2023-02-27 08:01:19	Get It Recruit - Technology
1044426	Data Analyst	Anywhere	Full-time	98000	2023-11-30 08:02:18	Get It Recruit - Information Technology
1714018	Data Analyst	Anywhere	Full-time	97500	2023-01-09 20:01:32	Cognizant Technology Solutions
498516	Data Analyst	Anywhere	Full-time	97500	2023-05-30 07:01:57	Motion Recruitment
